text,field,word,frequency,relative_frequency
eneida,clothing_and_fashion,обула,1,0.04937540117513455
eneida,clothing_and_fashion,выбійки,1,0.04937540117513455
eneida,clothing_and_fashion,чобитокъ,1,0.04937540117513455
eneida,clothing_and_fashion,каптанъ,1,0.04937540117513455
eneida,clothing_and_fashion,китайки,1,0.04937540117513455
eneida,clothing_and_fashion,каламайки,1,0.04937540117513455
eneida,clothing_and_fashion,шовковый,1,0.04937540117513455
eneida,clothing_and_fashion,одяглись,1,0.04937540117513455
eneida,clothing_and_fashion,обуты,1,0.04937540117513455
eneida,clothing_and_fashion,бляхою,1,0.04937540117513455
eneida,clothing_and_fashion,обвязавшись,1,0.04937540117513455
eneida,clothing_and_fashion,ладунка,1,0.04937540117513455
eneida,clothing_and_fashion,сунка,1,0.04937540117513455
eneida,clothing_and_fashion,малахай,1,0.04937540117513455
eneida,clothing_and_fashion,одежи,1,0.04937540117513455
eneida,clothing_and_fashion,убраный,1,0.04937540117513455
eneida,clothing_and_fashion,панчихъ,1,0.04937540117513455
eneida,clothing_and_fashion,патынки,1,0.04937540117513455
eneida,clothing_and_fashion,ирисины,1,0.04937540117513455
eneida,clothing_and_fashion,вбирались,1,0.04937540117513455
eneida,clothing_and_fashion,свита,1,0.04937540117513455
eneida,clothing_and_fashion,сукна,1,0.04937540117513455
eneida,clothing_and_fashion,тясомкою,1,0.04937540117513455
eneida,clothing_and_fashion,обшита,1,0.04937540117513455
eneida,clothing_and_fashion,кипъ,1,0.04937540117513455
eneida,clothing_and_fashion,шапочка,1,0.04937540117513455
eneida,clothing_and_fashion,шапці,1,0.04937540117513455
eneida,clothing_and_fashion,коса,1,0.04937540117513455
eneida,clothing_and_fashion,розхристана,1,0.04937540117513455
eneida,clothing_and_fashion,намысти,1,0.04937540117513455
eneida,clothing_and_fashion,цяцю,1,0.04937540117513455
eneida,clothing_and_fashion,борода,1,0.04937540117513455
eneida,clothing_and_fashion,сорочка,1,0.04937540117513455
eneida,clothing_and_fashion,звязана,1,0.04937540117513455
eneida,clothing_and_fashion,узлами,1,0.04937540117513455
eneida,clothing_and_fashion,попричепляна,1,0.04937540117513455
eneida,clothing_and_fashion,мотузками,1,0.04937540117513455
eneida,clothing_and_fashion,обутый,1,0.04937540117513455
eneida,clothing_and_fashion,гаманець,1,0.04937540117513455
eneida,clothing_and_fashion,кишень,1,0.04937540117513455
eneida,clothing_and_fashion,нохтики,1,0.04937540117513455
eneida,clothing_and_fashion,хустки,1,0.04937540117513455
eneida,clothing_and_fashion,придзигліованки,1,0.04937540117513455
eneida,clothing_and_fashion,шапочку,1,0.04937540117513455
eneida,clothing_and_fashion,румяна,1,0.04937540117513455
eneida,clothing_and_fashion,губки,1,0.04937540117513455
eneida,clothing_and_fashion,жупанахъ,1,0.04937540117513455
eneida,clothing_and_fashion,кармазинахъ,1,0.04937540117513455
eneida,clothing_and_fashion,сапьянахъ,1,0.04937540117513455
eneida,clothing_and_fashion,сумками,1,0.04937540117513455
eneida,clothing_and_fashion,жупан,1,0.04937540117513455
eneida,clothing_and_fashion,кучерявий,1,0.04937540117513455
eneida,clothing_and_fashion,бороду,1,0.04937540117513455
eneida,clothing_and_fashion,каблучки,1,0.04937540117513455
eneida,clothing_and_fashion,убори,1,0.04937540117513455
eneida,clothing_and_fashion,каптана,1,0.04937540117513455
eneida,clothing_and_fashion,плащем,1,0.04937540117513455
eneida,clothing_and_fashion,клейонки,1,0.04937540117513455
eneida,clothing_and_fashion,ґудзем,1,0.04937540117513455
eneida,clothing_and_fashion,застебнувся,1,0.04937540117513455
eneida,clothing_and_fashion,капелюх,1,0.04937540117513455
eneida,clothing_and_fashion,рукавиці,1,0.04937540117513455
eneida,clothing_and_fashion,шкапові,1,0.04937540117513455
eneida,clothing_and_fashion,наряді,1,0.04937540117513455
eneida,clothing_and_fashion,жупани,1,0.04937540117513455
eneida,clothing_and_fashion,каптани,1,0.04937540117513455
eneida,clothing_and_fashion,усики,1,0.04937540117513455
eneida,clothing_and_fashion,спідниці,1,0.04937540117513455
eneida,clothing_and_fashion,підперезала,1,0.04937540117513455
eneida,clothing_and_fashion,косинку,1,0.04937540117513455
eneida,clothing_and_fashion,груднину,1,0.04937540117513455
eneida,clothing_and_fashion,одкрила,1,0.04937540117513455
eneida,music_and_performance,музо,4,0.1975016047005382
eneida,music_and_performance,муза,3,0.14812620352540365
eneida,music_and_performance,бандура,1,0.04937540117513455
eneida,music_and_performance,бринчала,1,0.04937540117513455
eneida,music_and_performance,дудка,1,0.04937540117513455
eneida,music_and_performance,затынала,1,0.04937540117513455
eneida,music_and_performance,цымбалы,1,0.04937540117513455
eneida,music_and_performance,танціовали,1,0.04937540117513455
eneida,music_and_performance,дудку,1,0.04937540117513455
eneida,music_and_performance,танціовала,1,0.04937540117513455
eneida,music_and_performance,выкрутасомъ,1,0.04937540117513455
eneida,music_and_performance,выхилясомъ,1,0.04937540117513455
eneida,music_and_performance,розгулявся,1,0.04937540117513455
eneida,music_and_performance,выбивала,1,0.04937540117513455
eneida,music_and_performance,гоцака,1,0.04937540117513455
eneida,music_and_performance,перебіецъ,1,0.04937540117513455
eneida,music_and_performance,вытребенькы,1,0.04937540117513455
eneida,music_and_performance,загулялись,1,0.04937540117513455
eneida,music_and_performance,труби,1,0.04937540117513455
eneida,music_and_performance,засурмила,1,0.04937540117513455
eneida,music_and_performance,танціовать,1,0.04937540117513455
eneida,music_and_performance,вечирници,1,0.04937540117513455
eneida,music_and_performance,грай,1,0.04937540117513455
eneida,music_and_performance,танцюй,1,0.04937540117513455
eneida,music_and_performance,крутися,1,0.04937540117513455
eneida,music_and_performance,маляр,1,0.04937540117513455
eneida,music_and_performance,співак,1,0.04937540117513455
eneida,music_and_performance,танцюра,1,0.04937540117513455
eneida,music_and_performance,трубачі,1,0.04937540117513455
eneida,music_and_performance,танцював,1,0.04937540117513455
eneida,music_and_performance,муцика,1,0.04937540117513455
eneida,music_and_performance,музик,1,0.04937540117513455
eneida,sea_and_travel,човни,10,0.4937540117513455
eneida,sea_and_travel,човны,9,0.444378610576211
eneida,sea_and_travel,землі,15,0.7406310176270182
eneida,sea_and_travel,гай,14,0.6912556164518837
eneida,sea_and_travel,човнивъ,6,0.2962524070508073
eneida,sea_and_travel,водою,6,0.2962524070508073
eneida,sea_and_travel,плив,5,0.24687700587567274
eneida,sea_and_travel,води,5,0.24687700587567274
eneida,sea_and_travel,плывъ,4,0.1975016047005382
eneida,sea_and_travel,вода,4,0.1975016047005382
eneida,sea_and_travel,путь,4,0.1975016047005382
eneida,sea_and_travel,флот,4,0.1975016047005382
eneida,sea_and_travel,човенъ,3,0.14812620352540365
eneida,sea_and_travel,моремъ,3,0.14812620352540365
eneida,sea_and_travel,морю,3,0.14812620352540365
eneida,sea_and_travel,поход,3,0.14812620352540365
eneida,sea_and_travel,дно,2,0.0987508023502691
eneida,sea_and_travel,човнахъ,2,0.0987508023502691
eneida,sea_and_travel,човнокъ,2,0.0987508023502691
eneida,sea_and_travel,хвилі,2,0.0987508023502691
eneida,sea_and_travel,весельця,2,0.0987508023502691
eneida,sea_and_travel,пригоду,2,0.0987508023502691
eneida,sea_and_travel,поплив,2,0.0987508023502691
eneida,sea_and_travel,плить,2,0.0987508023502691
eneida,sea_and_travel,човна,2,0.0987508023502691
eneida,sea_and_travel,плыви,1,0.04937540117513455
eneida,sea_and_travel,доплывешъ,1,0.04937540117513455
eneida,sea_and_travel,море,11,0.5431294129264801
eneida,sea_and_travel,воду,10,0.4937540117513455
eneida,sea_and_travel,плавати,1,0.04937540117513455
eneida,sea_and_travel,мандровать,1,0.04937540117513455
eneida,sea_and_travel,пливъ,1,0.04937540117513455
eneida,sea_and_travel,хвили,1,0.04937540117513455
eneida,sea_and_travel,потопило,1,0.04937540117513455
eneida,sea_and_travel,сицилія,1,0.04937540117513455
eneida,sea_and_travel,човники,1,0.04937540117513455
eneida,sea_and_travel,здоровкались,1,0.04937540117513455
eneida,sea_and_travel,дороги,1,0.04937540117513455
eneida,sea_and_travel,поплыти,1,0.04937540117513455
eneida,sea_and_travel,чумаки,1,0.04937540117513455
eneida,sea_and_travel,чумакамъ,1,0.04937540117513455
eneida,sea_and_travel,конями,1,0.04937540117513455
eneida,sea_and_travel,ныряти,1,0.04937540117513455
eneida,sea_and_travel,бризнувъ,1,0.04937540117513455
eneida,sea_and_travel,росхитавшись,1,0.04937540117513455
eneida,sea_and_travel,нырнувъ,1,0.04937540117513455
eneida,sea_and_travel,човнамъ,1,0.04937540117513455
eneida,sea_and_travel,гребци,1,0.04937540117513455
eneida,sea_and_travel,водамъ,1,0.04937540117513455
eneida,sea_and_travel,мандровавъ,1,0.04937540117513455
eneida,sea_and_travel,поплававши,1,0.04937540117513455
eneida,sea_and_travel,поплыли,1,0.04937540117513455
eneida,sea_and_travel,поблудивши,1,0.04937540117513455
eneida,sea_and_travel,палавъ,1,0.04937540117513455
eneida,sea_and_travel,морсоки,1,0.04937540117513455
eneida,sea_and_travel,плав,1,0.04937540117513455
eneida,sea_and_travel,човну,1,0.04937540117513455
eneida,sea_and_travel,гребе,1,0.04937540117513455
eneida,sea_and_travel,їхали,1,0.04937540117513455
eneida,sea_and_travel,доплив,1,0.04937540117513455
eneida,sea_and_travel,кораблям,1,0.04937540117513455
eneida,sea_and_travel,флотом,1,0.04937540117513455
eneida,sea_and_travel,флота,1,0.04937540117513455
eneida,sea_and_travel,рікою,1,0.04937540117513455
eneida,religion_and_myth,пекло,20,0.987508023502691
eneida,religion_and_myth,пекла,11,0.5431294129264801
eneida,religion_and_myth,богивъ,4,0.1975016047005382
eneida,religion_and_myth,богиня,4,0.1975016047005382
eneida,religion_and_myth,чорты,3,0.14812620352540365
eneida,religion_and_myth,чортам,3,0.14812620352540365
eneida,religion_and_myth,каплицю,2,0.0987508023502691
eneida,religion_and_myth,помолись,2,0.0987508023502691
eneida,religion_and_myth,молились,2,0.0987508023502691
